word,list_number
immigrate,5
impact,3
implement,2
implicate,4
implicit,4
imply,8
impose,3
incentive,4
incidence,6
finite,7
flexible,6
fluctuate,8
focus,2
incline,10
income,1
incorporate,6
index,6
indicate,1
individual,1
induce,8
inevitable,8
infer,7
infrastructure,8
inherent,9
inhibit,6
initial,3
initiate,6
injure,2
innovate,7
input,6
insert,7
insight,9
inspect,8
instance,3
institute,2
instruct,6
integral,9
integrate,4
integrity,10
intelligence,6
intense,8
interact,3
intermediate,9
internal,4
interpret,1
interval,6
intervene,7
format,4
formula,9
forthcoming,1
foundation,10
intrinsic,7
invest,10
investigate,2
invoke,10
involve,1
isolate,7
issue,1
item,2
job,4
journal,2
justify,3
label,4
labour,1
layer,3
lecture,6
legal,1
legislate,1
levy,10
liberal,5
licence,5
likewise,10
link,3
locate,3
logic,5
maintain,2
major,1
manipulate,8
manual,9
margin,5
mature,9
maximise,3
mechanism,4
media,7
mediate,9
medical,5
medium,9
mental,5
method,1
migrate,6
military,9
minimal,9
minimise,8
minimum,6
ministry,6
minor,3
mode,7
modify,5
monitor,5
motive,6
mutual,9
negate,3
network,5
neutral,6
nevertheless,6
nonetheless,10
norm,9
normal,2
notion,5
notwithstanding,10
nuclear,8
objective,5
obtain,2
obvious,4
occupy,4
occur,1
odd,10
offset,8
ongoing,10
option,4
orient,5
outcome,3
output,4
overall,8
overlap,3
overseas,4
panel,9
paradigm,6
paragraph,10
parallel,7
parameter,4
participate,4
partner,2
passive,3
perceive,9
percent,2
period,1
persist,1
perspective,10
phase,5
phenomenon,4
philosophy,7
physical,3
plus,8
policy,1
portion,9
pose,10
positive,2
potential,2
practitioner,8
precede,6
precise,5
predict,4
predominant,8
preliminary,9
presume,6
previous,2
primary,2
prime,5
principal,4
principle,1
prior,4
priority,7
proceed,1
process,1
professional,4
prohibit,7
project,4
promote,4
proportion,3
prospect,8
protocol,9
psychology,5
publication,7
publish,3
purchase,2
pursue,5
qualitative,9
quote,7
radical,8
random,8
range,2
ratio,5
rational,6
react,3
recover,6
refine,9
regime,4
region,2
register,3
regulate,2
reinforce,8
reject,5
relax,9
release,7
relevant,2
reluctance,10
rely,3
remove,3
require,1
research,1
reside,2
resolve,4
resource,2
respond,1
restore,8
restrain,9
restrict,2
retain,4
reveal,6
revenue,5
reverse,7
revise,8
stable,5
statistic,4
status,4
straightforward,10
strategy,2
stress,4
structure,1
style,5
submit,7
subordinate,9
subsequent,4
subsidy,6
substitute,5
successor,7
sufficient,3
sum,4
summary,4
supplement,9
survey,2
survive,7
suspend,9
sustain,5
symbol,5
tape,6
revolution,3
rigid,9
role,9
route,9
scenario,1
schedule,9
scheme,9
scope,8
section,3
sector,6
secure,1
seek,1
select,2
sequence,2
target,2
task,3
team,5
technical,3
technique,9
technology,3
temporary,3
tense,8
terminate,8
text,2
theme,8
theory,1
thereby,8
thesis,7
topic,7
trace,6
tradition,2
transfer,2
transform,6
transit,5
transmit,7
transport,6
trend,5
trigger,9
series,4
sex,3
shift,3
significant,1
similar,1
simulate,7
site,2
so-called,10
sole,7
somewhat,7
source,1
specific,1
specify,3
sphere,9
ultimate,7
undergo,10
underlie,6
undertake,4
uniform,8
unify,9
unique,7
utilise,6
valid,3
vary,1
vehicle,8
version,5
via,8
violate,9
virtual,8
visible,7
vision,9
visual,8
volume,3
voluntary,7
welfare,5
whereas,5
whereby,10
widespread,8
